Timestamp,Pod_Name,Node_Name,Namespace,CPU_Usage(Cores),Memory_Usage(MB),Network_Latency(ms),Disk_IO(MB/s),Restart_Count,Failure_Type,Risk_Level,failure_flag
2025-03-21 21:56:32.404849+00:00,pod-4,node-4,kube-system,2.4,544.18,233.41,568.98,6,Pod Crash,High Risk,1
2025-03-20 01:57:32.405091+00:00,pod-16,node-7,staging,1.69,4438.1,320.8,456.92,5,Resource Exhaustion,Low to Medium Risk,1
2025-03-21 06:11:32.405151+00:00,pod-6,node-3,default,1.36,6877.96,424.22,870.3,7,Node Failure,High Risk,1
2025-03-20 21:36:32.405187+00:00,pod-1,node-5,staging,0.85,4562.28,263.92,316.64,5,Resource Exhaustion,Low to Medium Risk,1
2025-03-19 04:32:32.405230+00:00,pod-9,node-8,kube-system,0.57,7008.45,252.09,762.97,9,Resource Exhaustion,High Risk,1
2025-03-21 12:42:32.405262+00:00,pod-41,node-3,production,1.98,5332.22,125.14,682.78,7,Resource Exhaustion,High Risk,1
2025-03-20 15:48:32.405315+00:00,pod-38,node-5,kube-system,2.16,7765.42,140.06,221.63,2,Node Failure,High Risk,1
2025-03-19 15:10:32.405352+00:00,pod-25,node-6,default,2.27,5160.5,334.25,407.94,3,Pod Crash,High Risk,1
2025-03-16 17:50:32.405401+00:00,pod-46,node-5,default,0.37,1599.72,4.02,761.16,9,Resource Exhaustion,High Risk,1
2025-03-22 08:46:32.405439+00:00,pod-28,node-1,default,1.05,7802.92,438.49,856.08,4,Node Failure,High Risk,1
2025-03-21 09:21:32.405486+00:00,pod-45,node-2,staging,2.29,487.13,22.8,392.92,3,Resource Exhaustion,High Risk,1
2025-03-19 14:28:32.405537+00:00,pod-50,node-6,production,1.89,3398.82,492.81,596.07,6,Node Failure,High Risk,1
2025-03-17 23:33:32.405587+00:00,pod-38,node-2,production,1.1,6291.24,376.12,334.08,6,Resource Exhaustion,High Risk,1
2025-03-15 16:13:32.405637+00:00,pod-34,node-8,staging,1.8,6319.25,68.25,625.02,7,Node Failure,High Risk,1
2025-03-21 20:24:32.405682+00:00,pod-33,node-1,staging,1.72,2785.91,2.42,163.47,1,Pod Crash,Low to Medium Risk,1
2025-03-19 11:12:32.405713+00:00,pod-40,node-8,production,2.03,6946.28,125.06,97.48,7,Network Issue,High Risk,1
2025-03-18 22:43:32.405741+00:00,pod-28,node-6,kube-system,2.45,2130.11,112.2,316.55,10,Pod Crash,High Risk,1
2025-03-16 09:10:32.405768+00:00,pod-32,node-8,default,2.28,5240.24,33.19,320.67,8,Resource Exhaustion,High Risk,1
2025-03-16 19:24:32.405795+00:00,pod-14,node-5,kube-system,0.86,6534.65,171.72,128.73,6,Resource Exhaustion,High Risk,1
2025-03-16 00:20:32.405822+00:00,pod-19,node-5,default,1.13,3514.43,403.14,185.15,0,Resource Exhaustion,High Risk,1
2025-03-16 21:43:32.405849+00:00,pod-37,node-7,production,1.29,6796.91,374.38,667.97,8,Resource Exhaustion,High Risk,1
2025-03-21 04:24:32.405877+00:00,pod-17,node-3,kube-system,0.22,4070.15,122.31,316.09,0,Node Failure,Low to Medium Risk,1
2025-03-21 06:22:32.405904+00:00,pod-28,node-2,staging,2.5,5785.52,495.77,469.24,9,Pod Crash,High Risk,1
2025-03-18 08:58:32.405930+00:00,pod-26,node-4,staging,2.21,3614.12,345.02,276.36,1,Node Failure,High Risk,1
2025-03-19 06:32:32.405957+00:00,pod-46,node-3,kube-system,0.42,5844.43,277.67,123.63,3,Pod Crash,Low to Medium Risk,1
2025-03-15 19:34:32.405983+00:00,pod-11,node-1,default,0.3,7337.77,35.12,447.19,1,Network Issue,High Risk,1
2025-03-20 23:23:32.406011+00:00,pod-13,node-2,kube-system,2.34,187.05,78.18,711.1,6,Pod Crash,High Risk,1
2025-03-15 15:03:32.406036+00:00,pod-30,node-1,default,1.47,1985.72,283.5,945.18,0,Network Issue,Low to Medium Risk,1
2025-03-21 14:47:32.406080+00:00,pod-2,node-4,kube-system,0.5,2863.96,25.59,584.57,9,Node Failure,High Risk,1
2025-03-21 17:13:32.406110+00:00,pod-35,node-9,production,1.81,3812.38,21.7,593.34,0,Pod Crash,Low to Medium Risk,1
2025-03-21 09:09:32.406136+00:00,pod-11,node-5,staging,2.03,5936.94,241.36,604.99,0,Pod Crash,High Risk,1
